track_id,name,artist,artist_id,all_artists,all_artist_ids,num_artists,album,album_id,album_type,release_date,release_precision,total_tracks,album_image_url,popularity,explicit,duration_ms,track_number,disc_number,available_markets,preview_url,spotify_url,isrc,ean,upc
0W4NhJhcqKCqEP2GIpDCDq,Love,Keyshia Cole,1vfezMIyCr4XUdYRaKIKi3,Keyshia Cole,1vfezMIyCr4XUdYRaKIKi3,1,The Way It Is,4zEAsP0RIfbGARdtsgAaUV,album,2005-01-01,day,12,https://i.scdn.co/image/ab67616d0000b2732cc2323c681b3f84cdc8379a,83.0,False,255333,6,1,184,,https://open.spotify.com/track/0W4NhJhcqKCqEP2GIpDCDq,USAM10500210,,
1D4PL9B8gOg78jiHg3FvBb,Love Story,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1,Fearless (Big Machine Radio Release Special),3EzFY9Rg0PpbADMth746zi,album,2008-11-11,day,26,https://i.scdn.co/image/ab67616d0000b27360cb9332e8c8c7d8e50854b3,77.0,False,236266,6,1,184,,https://open.spotify.com/track/1D4PL9B8gOg78jiHg3FvBb,USCJY0803275,,
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,1,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,album,2015-11-13,day,19,https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de,86.0,False,233720,5,1,166,,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0,USUM71516761,,
1UNEuG9DYOWiikf00ayr52,Love Me Not,Ravyn Lenae,5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae,5RTLRtXjbXI2lSXc6jxlAz,1,Love Me Not / Love Is Blind,6YHaDmwYvX8vREotCZTV6g,single,2024-05-03,day,2,https://i.scdn.co/image/ab67616d0000b27333b05d358247bbe9971370f2,86.0,False,213466,1,1,184,,https://open.spotify.com/track/1UNEuG9DYOWiikf00ayr52,USAT22401137,,
6w9SgpKIzB54R2xHml1UPP,Love Language,Kim Min Seok (MeloMance),3CHn74oCO6xiThDGQcDMeA,Kim Min Seok (MeloMance),3CHn74oCO6xiThDGQcDMeA,1,Can This Love Be Translated? (Soundtrack from the Netflix Series),5Qg2iNuV6zTCGlIYunvvTd,album,2026-01-16,day,31,https://i.scdn.co/image/ab67616d0000b2735843a249f88fed1b0ef716e1,70.0,False,185547,1,1,185,,https://open.spotify.com/track/6w9SgpKIzB54R2xHml1UPP,QZ8BZ2515036,,
7hlEhmg5h9XuFtaGfgvqjF,Love Love Love,Epik High,5snNHNlYT2UrtZo5HCJkiw,Epik High,5snNHNlYT2UrtZo5HCJkiw,1,Remapping the Human Soul,0dcpWdZ9nKIbxgZma4NhMa,album,2007-01-24,day,27,https://i.scdn.co/image/ab67616d0000b2734c71e80a8f580184ba910222,65.0,False,231093,23,1,185,,https://open.spotify.com/track/7hlEhmg5h9XuFtaGfgvqjF,KRA490700223,,
4Byc2Hr86k9zFxaTfDlZvm,Love Me More,Apink,2uWcrwgWmZcQc3IPBs3tfU,Apink,2uWcrwgWmZcQc3IPBs3tfU,1,RE : LOVE,0ILAggqgXT6X1DCOhVuPNJ,single,2026-01-05,day,5,https://i.scdn.co/image/ab67616d0000b273af923a95f570e037189b81a3,65.0,False,194427,1,1,185,,https://open.spotify.com/track/4Byc2Hr86k9zFxaTfDlZvm,KRMIM2569514,,
59lBAMCis4C6NsPdUV35Vz,愛愛愛,Khalil Fong,1YrtUPrWcPfgdl9BaD9nhd,Khalil Fong,1YrtUPrWcPfgdl9BaD9nhd,1,愛愛愛,75QhyYrpr4b3sJUvmYAU3v,album,2006-12-31,day,13,https://i.scdn.co/image/ab67616d0000b27342198488aba710a12dd43064,65.0,False,215253,1,1,185,,https://open.spotify.com/track/59lBAMCis4C6NsPdUV35Vz,HKI490667201,,
4Zwn8WxD61diTwqv9hyTQA,閣愛妳一擺,EggPlantEgg,6g641431O1Xkl7HAs2yFEg,EggPlantEgg,6g641431O1Xkl7HAs2yFEg,1,閣愛妳一擺,1KaZUKYBcVHaxD3gd8N3M7,single,2021-12-10,day,1,https://i.scdn.co/image/ab67616d0000b27334a5cfe817584ad8fc38981c,63.0,False,278010,1,1,184,,https://open.spotify.com/track/4Zwn8WxD61diTwqv9hyTQA,TWEN52100004,,
73eCSQ1DxQbaOnzy8PhKx3,就是愛妳,David Tao,40tNK2YedBV2jRFAHxpifB,David Tao,40tNK2YedBV2jRFAHxpifB,1,太平盛世,1XnDRFsNxG12nZPRXNcPkU,album,2005-08-01,day,13,https://i.scdn.co/image/ab67616d0000b273110af1ee291450d9e86a05a4,63.0,False,261906,4,1,185,,https://open.spotify.com/track/73eCSQ1DxQbaOnzy8PhKx3,TWE830512004,,
